L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ຕູ້,/tuː˥˦/,"breast, mammary gland",,
ຕູ້,/tuː˥˦/,blunt,,
ຕູ້,/tuː˥˦/,"breast, mammary gland",,
ຕູ້,/tuː˥˦/,blunt,,
ຕູ້,/tuː˥˦/,blunt,,
ຕົ້ນໄມ້,/ton˥˧ mai˥˧/,tree,,
ຕົນເອງ,/ton˩˧ ʔeːŋ˩˧/,(reflexive) oneself; myself/himself/yourself etc.,,
ເຕະ,/teʔ˦˥/,to kick,,
ໂຕ,/toː˩˨/,big,,
ໂຕ,/toː˩˨/,"of animals, clothing, furniture, playing cards",,
ໂຕ,/toː˩˨/,"(informal) a second person pronoun, used to address",,
ໂຕ,/toː˩˨/,"of animals, clothing, furniture, playing cards",,
ໂຕ,/toː˩˨/,"(informal) a second person pronoun, used to address",,
ໂຕະ,/toʔ˦˥/,table,,
ໄຕ້,/tai˥˧/,"to light, set fire to",,
ໄຕ້ໄຟ,/tai˥˧ fai˦˥/,to light a fire,,
ຖື,/tʰɯː˩˨/,"to handle, to carry",,
ຖືກ,/tʰɨ̏ːk/,"to run into, hit, strike",,
ຖືກ,/tʰɨ̏ːk/,(+ adjective) indicating that object/person acquires qualities of given adjective,,
ຖືກ,/tʰɨ̏ːk/,cheap; inexpensive,,
ເຖລະວາດ,/tʰeː˩˧ laʔ˧˧ waːt˥˧/,(Buddhism) Theravada,,
ເຖິງດຽວນີ້,/tʰɤŋ˩˧ diau˩˧ niː˥˧/,"right now, at this moment",,
ທຽວ,/tʰiau˦˥/,"to go back and forth, to come and go",,
ທັງໝົດ,/tʰaŋ˦˥ mot˦˥/,"altogether, in all",,
ທາງ,/tʰaːŋ˦˥/,"road, path, track, direction, course, side, method,",,
ທາງ,/tʰaːŋ˦˥/,"in the direction, by means of, in the domain/province/sphere",,
ທາດ,/tʰaːt˥˦/,"element; essence, pagoda; stupa",,
ທາດ,/tʰaːt˥˦/,slave; servant,,
ທາດ,/tʰaːt˥˦/,slave; servant,,
ທານ,/tʰaːn˦˥/,(polite) to eat,,
ທຳ,/tʰam˦˥/,to do; to make; to perform.,,
ທຳ,/tʰam˦˥/,"(Buddhism) dharma, virtue, morals, (religion) enlightenment,",,
ທຳ,/tʰam˦˥/,"(Buddhism) dharma, virtue, morals, (religion) enlightenment,",,
ທິດ,/tʰit˧˧/,"direction; point of the compass (such as east, west,",,
ທິດຕາເວັນອອກ,/tʰit˧˧ taː˩˨ wen˦˥ ʔɔːk˨˩/,east,,
ທິດເໜືອ,/tʰit˧˧ nɯa˩˧/,north,,
ທີ່,/tʰiː˧˧/,"place, site, region, area",,
ທີ່,/tʰiː˧˧/,"in, at, on",,
ທີ່,/tʰiː˧˧/,"(relative) used to link noun with adjective, or verb",,
ທຸງ,/tʰuŋ˦˥/,"flag, banner, standard",,
ທຸລຽນ,/tʰuʔ˧˧ lian˦˥/,durian,,
ທົ່ງນາ,/tʰoŋ˧˧ naː˦˥/,arable field,,
ໂທລະທັດ,/tʰoː˦˥ la˧˧ tʰat˧˧/,"television, telescope",,
ໄທ,/tʰai˦˥/,"inhabitant, resident, person (designating nationality),",,
ໄທ,/tʰai˦˥/,Thailand (a country in Asia),,
ໄທ,/tʰai˦˥/,Thai,,
ໄທ,/tʰai˦˥/,"god, important person, spirit, ghost",,
ນ້ອຍ,/nɔːj˥˧/,"small, little, few",,
ນ້ອຍ,/nɔːj˥˧/,"not much, little",,
ນ້ອຍ,/nɔːj˥˧/,minority (state of being a minor),,
ນອນ,/nɔːn˦˥/,"to lie down, to sleep",,
ນັກ,/nak˧˧/,"used to form compound nouns indicating professions,",,
ນັກ,/nak˧˧/,"very, extremely",,
ນັກ,/nak˧˧/,"very, extremely",,
ນັກການເມືອງ,/nak˧˧ kaːn˩˧ mɯaŋ˦˥/,politician,,
ນັກຂຽນ,/nak˧˧ kʰian˩˧/,"writer, author",,
ນັກຂ່າວ,/nak˧˧ kʰaːu˧˧/,reporter,,
ນັກປະພັນ,/nak˧˧ pa˦˥ pʰan˦˥/,"writer, author",,
ນັ່ງ,/naŋ˧˧/,to sit,,
ນັ້ນ,/nan˥˦/,that (near to the speaker),,
ນາທີ,/naː˦˥ tiː˦˥/,minute,,
ນາມ,/naːm˩˧/,"(first) name; designation, (grammar) noun",,
ນ້ຳ,/nam˥˦/,"water, liquid, sauce",,
ນ້ຳຂອງ,/nam˥˧ kʰɔːŋ˩˧/,the Mekong,,
ນ້ຳຕານ,/nam˥˦ taːn˩˨/,sugar.,,
ນ້ຳຕານ,/nam˥˦ taːn˩˨/,brown.,,
ນ້ຳຖ້ວມ,/nam˥˧ tʰuam˨˩/,"flood, inundation",,
ນ້ຳນົມ,/nam˥˦ nom˩˧/,milk,,
ນ້ຳສ້າງ,/nam˥˧ saːŋ˨˩/,well (for water); spring,,
ນິພານ,/ni˧˧ pʰaːn˦˥/,"(Buddhism) nirvana, death",,
ນີ້,/niː˥˦/,"this, these",,
ນີ້,/niː˥˦/,here,,
ນີວຢອກ,/niːw˦˥ jɔːk˦˥/,New York City (a city in the United States),New York,nˈuː jˈɔː͡ɹk
ນົກ,/nok˦/,bird,,
ນົມ,/nom˩˧/,"breast, bosom; chest, milk",,
ເນື່ອງຈາກ,/nɯaŋ˧˧ tɕaːk˨˩/,"because of, owing to",,
ໃນ,/naɯ˦˥/,"in, within, inside, of",,
ໃນຖານະ,/nai˦˥ tʰaː˩˧ naʔ˧˧/,in the capacity of; as (somebody),,
ບໍ່,/bɔː˧˧/,"(negative) no, not (used to form negatives), ບໍ່ດີ.bǭ",,
ບໍ່,/bɔː˧˧/,well (water hole).,,
ບໍ່,/bɔː˧˧/,well (water hole).,,
ບວກ,/buak˨˩/,"pond, puddle; reservoir",,
ບວກ,/buak˨˩/,"radiated ratsnake, copperhead rat snake (Elpahe radiata),",,
ບວກ,/buak˨˩/,"to add, add up (to)",,
ບວກ,/buak˨˩/,"radiated ratsnake, copperhead rat snake (Elpahe radiata),",,
ບວກ,/buak˨˩/,"to add, add up (to)",,
ບວກ,/buak˨˩/,"to add, add up (to)",,
ບາງ,/baːŋ˩˨/,"fine, thin, Synonyms: ແປ (pǣ), ແພບ (phǣp)",,
ບາງ,/baːŋ˩˨/,some,,
ບາງ,/baːŋ˩˨/,some,,
ບ້ານ,/baːn˥˧/,"village, settlement, home, apartment",,
ບ້ານເດີມ,/baːn˥˧ dɤːm˩˧/,"place of birth, birthplace",,
ບຶງ,/bɯŋ˩˨/,pond,,
ບຸນ,/bun˩˨/,"festival, holiday, ritual, ceremony",,
ບຸນ,/bun˩˨/,"goodness, virtue; good deed, happiness, prosperity,",,
ບຸນ,/bun˩˨/,"goodness, virtue; good deed, happiness, prosperity,",,
ບຸນບັ້ງໄຟ,/bun˩˨ baŋ˥˦ fai˦˥/,rocket festival,,
ບູຊາ,/buː˩˨ saː˦˥/,"to worship, venerate, honour",,
ບູຮານ,/buː˩˧ haːn˦˥/,"old, ancient",,
ເບາະ,/bɔʔ˦˥/,cushion,,
ເບິ່ງແຍງ,/bɤ̄ŋ.ɲɛ́ːŋ/,"look after, attend to, care for, watch over, supervise",,
ແບ້,/bɛː˥˦/,goat,,
ໃບ,/baɯ˩˨/,leaf,,
ປະກົດ,/pa˦˥ kot˦˥/,"to appear, seem",,
