L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
세파랑ᄒᆞ다,/sʰe̞pʰa̠ɾa̠ŋɦɒda̠/,deep blue,,
셋,/sʰe̞ːt̚/,three,,
셍,/se̞ŋ/,shape,,
셍ᄉᆞ,/se̞ŋsɒ/,life-and-death,,
셍일날,⫽seŋilnal⫽,"birthday, 느 셍일날 어느제고? — 구월 수무ᄒᆞ루마씸.Neu seng'illal eoneuje-go?",,
소곱,/sʰo̞ɡo̞p̚/,the inside; especially that which is underneath or within a covering,,
소나이,/so̞na̠i/,"man (adult male human), Synonym: 남ᄌᆞ (namjaw), husband,",,
소리,/so̞ɾi/,"sound, song, Synonym: 놀래 (nollae)",,
쉬염,/ɕʰwijəm/,"(facial hair) mustache, beard, whiskers",,
스믈스믈,/sɨmɨɭsɨmɨɭ/,"(of an insect) itchy, creepy-crawly",,
시께테물,/ʃik͈e̞tʰe̞muɭ/,leftover food after a rite,,
시리,⫽sili⫽,steamer (used to cook rice),,
시시리실피,/ʃiʃiɾiʃiɭpʰi/,very much,,
시왕맞이,/ʃiwa̠ŋma̠d͡ʑi/,(shamanism) a ritual performed in honor of the ten,,
시월,[ʃiwəɭ],October,,
시절,/ɕʰid͡ʑəɭ/,a period of time,,
식게,/ɕʰik̚k͈e̞/,sacrificial rites in honor of an ancestor or god.,,
신디,[ɕʰindi],"to; at; for, 그 사름신디 ᄀᆞᆯ읍디가? ― geu sareum-sindi gawreupdiga",,
실기ᄒᆞ다,/ʃiɭɡiɦɒda̠/,to squash,,
실피,/ɕʰiɭpʰi/,"to one's heart's content, heartily",,
심,⫽sim⫽,strength; power,,
심방,⫽simpaŋ⫽,shaman; initiated priest of the indigenous religion,,
십관,/ʃip̚k͈wa̠n/,habit,,
십수매,/ʃip̚s͈umæ/,a ten year-old horse,,
십일월,[ʃip̚p͈iɭɭwəɭ],November,,
싯,/ɕʰit̚/,"(Parts of Jeju City, Most of Seogwipo) three",,
싸무랍다,/s͈a̠muɾa̠p̚t͈a̠/,"to be harsh, wild
Synonyms: 거실다 (geosilda), 목쓸다 (moksseulda)",,
쎄다,/s͈e̞da̠/,(to be) strong,,
씨동승,/ɕ͈ʰido̞ŋsʰɨŋ/,brother-in-law (younger brother of one's husband),,
씨아방,/ɕ͈ʰia̠ba̠ŋ/,father-in-law (husband's father),,
씨아주방,/ɕ͈ʰia̠d͡ʑuba̠ŋ/,brother-in-law (brother of one's husband),,
아ᇝ,/ams/,"Yang-vowel form of 어ᇝ (-eoms-, continuous aspect-marking suffix)",,
아덜,/a̠dɨɭ/,"son, Coordinate term: ᄄᆞᆯ (ttawl)",,
아명ᄒᆞ다,/a̠mjəŋɦɒda̠/,"unspecific (as in being in an undefined, unspecific, or unimportant situation)",,
아방,/a̠ba̠ŋ/,"father, Synonym: (honorific) 아벰 (abem)",,
아벰,/a̠be̞m/,"(honorific) father, Synonym: 아방 (abang)",,
아옵,/ao̞p̚/,"(parts of Jeju City, most of Seogwipo) nine, Synonym:",,
아장,/a̠d͡ʑa̠ŋ/,daughter-in-law,,
아접씨,/a̠d͡ʑəp̚ʃ͈i/,"middle-aged elder male, uncle",,
아주방,/ad͡ʑubaŋ/,middle-aged older male,,
아피,/apʰi/,"to
누게아피 줍디가? ― nugeapi jupdiga? ― To whom did you give [it]?",,
아흐레,/a̠ɦɨɾe̞/,nine days,,
악귀,/a̠k̚k͈wi/,instrument; musical instrument,,
악매,/a̠ŋmæ/,a demon; a devil; a fiend,,
알,/a̠ɭ/,"below, bottom",,
알칭,/a̠ʎt͡ɕʰiŋ/,downstairs,,
야단치다,/ja̠da̠ɲt͡ɕida̠/,to scold,,
야칸,/ja̠ːkʰa̠n/,"in any case, anyway, anyhow, at any rate",,
