L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
birc,/bɪɾd͡ʒ/,"tower, castle, fortress, bastion",,
birek,/bɪˈɾɛk/,saw,,
birin,/bɪˈɾɪn/,take away,,
Biryar,/bɪɾˈjɑːɾ/,A male given name,,
birçî,/bɪɾˈt͡ʃʰiː/,hungry,,
birîn,/bɪˈɾiːn/,"to cut (something) with a saw, to hurt or injure by",,
birîn,/bɪˈɾiːn/,wound,,
birîn,/bɪˈɾiːn/,"first-person plural future of rîtin, second-person",,
birîn,/bɪˈɾiːn/,"first-person plural future of rîtin, second-person",,
birîndar,/bɪɾiːnˈdɑːɾ/,injured,,
biçûk,/bɪˈt͡ʃuːk/,small,,
bişirîn,/bɪʃɪˈɾiːn/,to smile,,
bo,-oː,for,,
borandin,/boːɾɑːnˈdɪn/,to forgive,,
bê,-eː,without,,
bêbandor,/beːbɑːnˈdoːɾ/,uninfluenced,,
bêbav,/beːˈbɑːv/,fatherless,,
bêbingeh,/beːbɪnˈɡɛh/,unfounded,,
bêcil,/beːˈd͡ʒɪl/,undressed,,
bêcilî,/beːd͡ʒɪˈliː/,undressedness,,
bêdilî,/beːdɪˈliː/,unwillingness,,
bêdiran,/beːdɪˈɾɑːn/,toothless,,
bêdê,/beːˈdeː/,motherless,,
bêencam,/beːɛnˈd͡ʒɑːm/,resultless,,
bêencamî,/beːɛnd͡ʒɑːˈmiː/,resultlessness,,
bêguman,/beːɡʊˈmɑːn/,doubtless,,
bêguman,/beːɡʊˈmɑːn/,doubtlessly,,
bêgumanî,/beːɡʊmɑːˈniː/,doubtlessness,,
bêhtirpêr,/beːhtɪɾˈpeːɾ/,three days ago,,
bêhêvî,/beːheːˈviː/,hopeless,,
bêhêvîtî,/beːheːviːˈtiː/,hopelessness,,
bêjenasî,/beːʒɛnɑːˈsiː/,etymology,,
bêjing,/beːˈʒɪŋɡ/,sieve,,
bêkar,/beːˈkɑːɾ/,workless,,
bêkêrî,/beːkeːˈɾiː/,uselessness,,
bênav,/beːˈnɑːv/,nameless,,
bênaverok,/beːnɑːvɛˈɾoːk/,contentless,,
bênavî,/beːnɑːˈviː/,namelessness,,
bêpergal,/beːpɛɾˈɡɑːl/,systemless,,
bêr,-eːɾ,shovel,,
bêrehm,/beːˈɾɛhm/,cruel,,
Bêrîvan,/beːɾiːˈvɑːn/,A female given name,,
bêwate,/beːwɑːˈtɛ/,meaningless,,
bêwelat,/beːwɛˈlɑːt/,countryless,,
bêwelatî,/beːwɛlɑːˈtiː/,countrylessness,,
bêzarok,/beːzɑːˈɾoːk/,childless,,
bêşerm,/beːˈʃɛɾm/,brazen-faced,,
bîr,/biːɾ/,"well, memory",,
bîra,/biːˈɾɑː/,beer,,
bîrkarî,/biːɾkɑːˈɾiː/,mathematics,,
bîst,/biːst/,twenty,,
bîstin,/biːsˈtɪn/,to hear,,
bûk,-uːkˤ,bride,,
bûn,/buːn/,be,,
bûyer,/buːˈjɛɾ/,event,,
cade,/d͡ʒɑːˈdɛ/,"road, street",,
camedank,/d͡ʒɑːmɛˈdɑːŋk/,"wardrobe, closet",,
can,/d͡ʒɑːn/,soul,,
carcaran,/d͡ʒɑːɾd͡ʒɑːˈɾɑːn/,"sometimes, once in a while",,
carinan,/d͡ʒɑːɾɪˈnɑːn/,"sometimes, once in a while",,
ceh,/d͡ʒɛh/,barley,,
cem,/d͡ʒɛm/,next to,,
cemidandin,/d͡ʒɛmɪdɑːnˈdɪn/,to cool,,
ceng,/d͡ʒɛŋɡ/,war,,
ceribandin,/d͡ʒɛɾɪbɑːnˈdɪn/,to test,,
cihûtî,/d͡ʒɪhuːˈtiː/,Judaism,,
cildank,/d͡ʒɪlˈdɑːŋk/,"wardrobe, closet",,
cilixandin,/d͡ʒɪlɪxɑːnˈdɪn/,to incite,,
civak,/d͡ʒɪˈvɑːk/,society,,
civaknas,/d͡ʒɪvɑːkˈnɑːs/,sociologist,,
civat,/d͡ʒɪˈvɑːt/,"community, people, society",,
civîn,/d͡ʒɪˈviːn/,assembly,,
Ciwan,[d͡ʒɪwaːn],A male given name,,
ciwan,/d͡ʒɪˈwɑːn/,"young, Ew pir ciwan e.He/She is very young., beautiful",*HyúHā,ˈæstɚɹˌɪsk hˈaɪ
ciwan,/d͡ʒɪˈwɑːn/,adolescent,*HyúHā,ˈæstɚɹˌɪsk hˈaɪ
ciwanî,/d͡ʒɪwɑːˈniː/,adolescence,,
cotkar,/d͡ʒoːtˈkɑːɾ/,"farmer, Synonym: cotyar",,
cotkarî,/d͡ʒoːtkɑːˈɾiː/,agriculture,,
cotmeh,/d͡ʒoːtˈmɛh/,October,,
cotyar,/d͡ʒoːtˈjɑːɾ/,"farmer, , Synonym: cotkar",,
cumle,/d͡ʒʊmˈlɛ/,"clause, sentence, phrase, Synonym: hevok",,
cînav,/d͡ʒiːˈnɑːv/,pronoun,,
cîzme,/d͡ʒiːzˈmɛ/,boots,,
cûtin,/d͡ʒuːˈtɪn/,chew,,
da,-ɑː,"so
Em dixwin da em karibin bijîn.We eat so we may live.",,
dabaş,/dɑːˈbɑːʃ/,"subject, topic",,
dabilandin,[dabɯlandɯn],to swallow,,
dadgeh,/dɑːdˈɡɛh/,tribunal,,
dadmend,/dɑːdˈmɛnd/,"right, just, fair",,
damezrandin,/dɑːmɛzɾɑːnˈdɪn/,to found,,
danegeh,/dɑːnɛˈɡɛh/,database,,
danîn,/dɑːˈniːn/,to lay,,
daqurtandin,/dɑːqʊɾtɑːnˈdɪn/,to swallow,,
daristan,/dɑːɾɪsˈtɑːn/,forest,,
dasî,/dɑːˈsiː/,fishbone,,
dawî,-iː,end,,
daxuyanî,/dɑːxʊjɑːˈniː/,"declaration, announcement, manifesto, written statement",,
daxwaz,/dɑːxˈwɑːz/,"wish, desire, want, necessity, demand, request, supplication,",,
dayik,/dɑːˈjɪk/,mother,,
daçek,/dɑːˈt͡ʃɛk/,(grammar) preposition,,
daûrandin,/dɑːuːɾɑːnˈdɪn/,to swallow,,
defter,/dɛfˈtɛɾ/,notebook,,
deh,-ɛh,ten,*dáca,ˈæstɚɹˌɪsk dˈiː kˈɑː
dehsal,[dɛhsaːl],decade,,
delal,[dɛlaːl],good,,
Delal,/dɛˈlɑːl/,A female given name,,
delalî,/dɛlɑːˈliː/,beauty,,
delîl,/dɛˈliːl/,"evidence, document",,
demokratîk,/dɛmoːkɾɑːˈtiːk/,democratic,,
demsal,/dɛmˈsɑːl/,season,,
dendikî,/dɛndɪˈkiː/,nuclear,,
dendrokronolojî,/dɛndɾoːkɾoːnoːloːˈʒiː/,dendrochronology,,
deng,-ɛŋɡ,"voice
Synonym: sewt",,
dereng,/dɛˈɾɛŋɡ/,late,,
derew,/dɛˈɾɛw/,lie,,
derfet,/dɛɾˈfɛt/,"chance, possibility, opportunity",,
